provider_match_id,source_market,source_url,competition,season,kickoff_time_utc,home_team_name,away_team_name,ft_home_goals,ft_away_goals,handicap_open_line,handicap_close_line,odds_home_open,odds_away_open,odds_home_close,odds_away_close,handicap_side
E0_2324_0067,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-01 14:00:00+00:00,Nott'm Forest,Brentford,1,1,0.0,0.0,2.01,1.89,2.01,1.89,home
E0_2324_0068,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-02 20:00:00+00:00,Fulham,Chelsea,0,2,0.5,0.5,1.85,2.05,1.85,2.05,home
E0_2324_0069,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-03 19:30:00+00:00,Luton,Burnley,1,2,0.0,0.0,2.08,1.85,2.08,1.85,home
E0_2324_0070,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 12:30:00+00:00,Luton,Tottenham,0,1,1.25,1.25,1.88,2.02,1.88,2.02,home
E0_2324_0071,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Burnley,Chelsea,1,4,0.75,0.75,1.91,1.99,1.91,1.99,home
E0_2324_0072,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Everton,Bournemouth,3,0,-0.5,-0.5,1.98,1.92,1.98,1.92,home
E0_2324_0073,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Fulham,Sheffield United,3,1,-1.0,-1.0,2.08,1.73,2.08,1.73,home
E0_2324_0074,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 15:00:00+00:00,Man United,Brentford,2,1,-0.75,-0.75,1.88,2.02,1.88,2.02,home
E0_2324_0075,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-07 17:30:00+00:00,Crystal Palace,Nott'm Forest,0,0,-0.25,-0.25,1.91,1.99,1.91,1.99,home
E0_2324_0076,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2023-10-08 14:00:00+00:00,Brighton,Liverpool,2,2,0.25,0.25,2.0,1.9,2.0,1.9,home
